id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747638526.436082,0.96752596,-0.7944366,-0.1343371,-0.1880646,-3.6361446,3.3908894
1,1747638526.449812,1.5835071,-0.7554099,-0.17071119,-0.7624901,-4.5102673,4.092753
2,1747638526.465437,1.8592854,-0.6568066,-0.10457927,-1.6261518,-4.4326897,4.4305515
3,1747638526.4664392,2.250741,-0.38419926,0.04966753,-1.6261518,-4.4326897,4.4305515
4,1747638526.4805777,2.510878,0.016769271,0.23196477,-2.183779,-4.030752,4.587539
5,1747638526.4960115,2.7151585,0.38453463,0.40865192,-2.594421,-3.586666,4.704211
6,1747638526.4970145,2.8586423,0.66933787,0.6304941,-2.594421,-3.586666,4.704211
7,1747638526.5111458,3.164697,1.1652509,1.1049424,-2.9445891,-2.618473,4.5905933
8,1747638526.5271804,3.1549401,1.510332,1.5059111,-2.305872,-2.1682024,3.7146385
9,1747638526.5282443,3.1549401,1.510332,1.5059111,-2.305872,-2.1682024,3.7146385
10,1747638526.5425303,2.8847718,1.7707435,1.646712,-1.5930897,-2.1126153,3.1477723
11,1747638526.557417,2.2400088,2.4162385,1.4056003,-0.0684149,-2.6899424,2.1990502
12,1747638526.5584173,2.2400088,2.4162385,1.4056003,-0.0684149,-2.6899424,2.1990502
13,1747638526.5726464,1.9161484,2.6292999,1.0148762,0.13033953,-2.722928,1.7647377
14,1747638526.588193,1.65842,2.7115302,0.7857166,-0.032909397,-2.465074,1.2571237
15,1747638526.589193,1.4463649,2.775467,0.7066571,-0.33634776,-2.133384,0.86679226
16,1747638526.604124,1.2008322,2.8537946,0.7674228,-0.83663166,-1.5078765,0.3555131
17,1747638526.61937,0.75132436,2.7371414,1.4104786,-1.2578872,0.018630842,-0.8589276
18,1747638526.6204762,0.75132436,2.7371414,1.4104786,-1.2578872,0.018630842,-0.8589276
19,1747638526.6347215,0.5572886,2.735678,1.6630543,-0.89588386,0.35039726,-1.3903648
20,1747638526.6507287,0.59439445,2.7025054,1.8258383,0.16775393,0.8030351,-2.0665727
21,1747638526.6517677,0.59439445,2.7025054,1.8258383,0.16775393,0.8030351,-2.0665727
22,1747638526.666628,1.2801661,2.5133784,1.6228081,1.5733898,1.1218973,-3.222372
23,1747638526.6677208,1.2801661,2.5133784,1.6228081,1.5733898,1.1218973,-3.222372
24,1747638526.6821642,1.6264669,2.3623025,1.3946241,1.854456,1.4340403,-3.6884484
25,1747638526.6974037,2.2255871,1.9923114,1.1125039,2.068176,2.3124387,-4.4630027
26,1747638526.6984036,2.2255871,1.9923114,1.1125039,2.068176,2.3124387,-4.4630027
27,1747638526.7124622,2.7747045,1.5235035,0.9436221,2.2388315,3.204963,-5.389658
28,1747638526.7282102,3.0263045,1.1376579,0.8730997,2.4544606,3.4896176,-6.0854893
29,1747638526.7292883,3.0263045,1.1376579,0.8730997,2.4544606,3.4896176,-6.0854893
