id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747592167430,-0.34,-0.78,-0.45,-6.9,7.26,-9.58
1,1747592167440,-0.34,-0.78,-0.45,-6.9,7.26,-9.58
2,1747592167450,-0.33,-0.8,-0.39,3.23,34.91,6.16
3,1747592167460,-0.33,-0.8,-0.39,3.23,34.91,6.16
4,1747592167470,-0.33,-0.8,-0.39,3.23,34.91,6.16
5,1747592167480,-0.2,-0.71,-0.16,-1.0399999999999998,76.35499999999999,34.145
6,1747592167490,,,,,,
7,1747592167500,-0.2,-0.71,-0.16,-5.31,117.8,62.13
8,1747592167510,-0.2,-0.71,-0.16,-5.31,117.8,62.13
9,1747592167520,-0.06,-0.72,0.32,67.2,94.54,49.74
10,1747592167530,-0.06,-0.72,0.32,67.2,94.54,49.74
11,1747592167540,-0.06,-0.72,0.32,67.2,94.54,49.74
12,1747592167550,-0.23,-0.99,0.415,108.155,90.085,43.03
13,1747592167560,-0.4,-1.26,0.51,149.11,85.63,36.32
14,1747592167570,-0.4,-1.26,0.51,149.11,85.63,36.32
15,1747592167580,-0.4,-1.26,0.51,149.11,85.63,36.32
16,1747592167590,-0.83,-1.86,0.21,149.11,85.63,36.32
17,1747592167600,-0.83,-1.86,0.21,166.26,208.13,107.12
18,1747592167610,-0.83,-1.86,0.21,166.26,208.13,107.12
19,1747592167620,-0.83,-1.86,0.21,166.26,208.13,107.12
20,1747592167630,-1.615,-1.995,-0.105,175.17000000000002,184.115,120.27
21,1747592167640,-2.4,-2.13,-0.42,184.08,160.1,133.42
22,1747592167650,-2.4,-2.13,-0.42,184.08,160.1,133.42
23,1747592167660,-2.4,-2.13,-0.42,184.08,160.1,133.42
24,1747592167670,-3.02,-2.66,-1.15,187.81,-0.12,190.19
25,1747592167680,-3.02,-2.66,-1.15,187.81,-0.12,190.19
26,1747592167690,-3.02,-2.66,-1.15,187.81,-0.12,190.19
27,1747592167700,-3.02,-2.66,-1.15,187.81,-0.12,190.19
28,1747592167710,-2.25,-2.69,-1.45,149.41,-2.32,303.89
29,1747592167720,-2.25,-2.69,-1.45,149.41,-2.32,303.89
30,1747592167730,-2.25,-2.69,-1.45,149.41,-2.32,303.89
31,1747592167740,-2.25,-2.69,-1.45,149.41,-2.32,303.89
32,1747592167750,-1.9,-2.46,-1.65,153.63,-86.18,273.56
33,1747592167760,-1.9,-2.46,-1.65,153.63,-86.18,273.56
34,1747592167770,-1.9,-2.46,-1.65,153.63,-86.18,273.56
