id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747654838730,0.34,-0.19,0.92,3.72,11.29,3.54
1,1747654838740,0.33,-0.17,0.91,3.72,11.29,3.54
2,1747654838750,0.33,-0.17,0.91,-4.46,3.6,0.0
3,1747654838760,,,,,,
4,1747654838770,0.33,-0.17,0.91,-4.46,3.6,0.0
5,1747654838780,0.345,-0.175,1.0,-5.345000000000001,10.1,-7.935
6,1747654838790,0.36,-0.18,1.09,-6.23,16.6,-15.87
7,1747654838800,0.36,-0.18,1.09,-6.23,16.6,-15.87
8,1747654838810,,,,,,
9,1747654838820,0.315,-0.205,1.115,2.04,26.365,-7.75
10,1747654838830,,,,,,
11,1747654838840,0.27,-0.23,1.14,10.31,36.13,0.37
12,1747654838850,0.27,-0.23,1.14,10.31,36.13,0.37
13,1747654838860,0.27,-0.23,1.14,10.31,36.13,0.37
14,1747654838870,0.33,-0.2,1.14,19.35,47.85,1.65
15,1747654838880,0.33,-0.2,1.14,19.35,47.85,1.65
16,1747654838890,0.33,-0.2,1.14,19.35,47.85,1.65
17,1747654838900,0.18,-0.22,1.2,38.76,80.69,1.95
18,1747654838910,0.18,-0.22,1.2,38.76,80.69,1.95
19,1747654838920,0.18,-0.22,1.2,38.76,80.69,1.95
20,1747654838930,0.18,-0.22,1.2,38.76,80.69,1.95
21,1747654838940,,,,,,
22,1747654838950,0.11,-0.16,1.07,45.59,92.47,20.63
23,1747654838960,0.11,-0.16,1.07,45.59,92.47,20.63
24,1747654838970,0.11,-0.16,1.07,45.59,92.47,20.63
25,1747654838980,0.14,-0.09,1.04,45.59,92.47,20.63
26,1747654838990,0.14,-0.09,1.04,40.77,76.78,14.89
27,1747654839000,0.14,-0.09,1.04,40.77,76.78,14.89
28,1747654839010,0.14,-0.09,1.04,40.77,76.78,14.89
29,1747654839020,0.12,-0.07,1.11,15.87,95.58,5.13
30,1747654839030,0.12,-0.07,1.11,15.87,95.58,5.13
31,1747654839040,0.12,-0.07,1.11,15.87,95.58,5.13
32,1747654839050,0.09,-0.08,1.105,10.71,110.105,8.85
33,1747654839060,0.06,-0.09,1.1,5.55,124.63,12.57
34,1747654839070,0.06,-0.09,1.1,5.55,124.63,12.57
35,1747654839080,0.06,-0.09,1.1,5.55,124.63,12.57
36,1747654839090,0.0199999999999999,-0.095,1.0750000000000002,11.105,122.005,10.525
37,1747654839100,-0.02,-0.1,1.05,16.66,119.38,8.48
38,1747654839110,-0.02,-0.1,1.05,16.66,119.38,8.48
39,1747654839120,-0.02,-0.1,1.05,16.66,119.38,8.48
40,1747654839130,-0.02,-0.1,1.05,16.66,119.38,8.48
41,1747654839140,-0.05,-0.06,1.03,4.52,129.03,11.17
42,1747654839150,-0.05,-0.06,1.03,4.52,129.03,11.17
43,1747654839160,-0.05,-0.06,1.03,4.52,129.03,11.17
44,1747654839170,-0.15,-0.13,1.02,4.52,129.03,11.17
45,1747654839180,-0.15,-0.13,1.02,-3.48,137.02,13.24
46,1747654839190,-0.15,-0.13,1.02,-3.48,137.02,13.24
47,1747654839200,-0.15,-0.13,1.02,-3.48,137.02,13.24
48,1747654839210,-0.22,-0.11,0.94,18.19,132.14,21.055
49,1747654839220,-0.22,-0.11,0.94,39.86,127.26,28.87
50,1747654839230,-0.22,-0.11,0.94,39.86,127.26,28.87
51,1747654839240,-0.22,-0.11,0.94,39.86,127.26,28.87
52,1747654839250,-0.28,0.0,0.83,36.13,129.03,29.48
53,1747654839260,-0.28,0.0,0.83,36.13,129.03,29.48
54,1747654839270,-0.28,0.0,0.83,36.13,129.03,29.48
55,1747654839280,-0.28,0.0,0.83,36.13,129.03,29.48
56,1747654839290,-0.28,0.0,0.83,36.13,129.03,29.48
57,1747654839300,-0.33,0.01,0.75,15.75,132.26,29.42
58,1747654839310,-0.33,0.01,0.75,15.75,132.26,29.42
59,1747654839320,-0.33,0.01,0.75,15.75,132.26,29.42
60,1747654839330,-0.375,0.03,0.72,21.76,123.625,26.950000000000003
61,1747654839340,-0.42,0.05,0.69,27.77,114.99,24.48
62,1747654839350,-0.42,0.05,0.69,27.77,114.99,24.48
63,1747654839360,-0.42,0.05,0.69,27.77,114.99,24.48
64,1747654839370,-0.4499999999999999,0.07,0.645,6.255,117.185,19.38
65,1747654839380,-0.48,0.09,0.6,-15.26,119.38,14.28
66,1747654839390,-0.48,0.09,0.6,-15.26,119.38,14.28
67,1747654839400,-0.52,0.055,0.595,-8.82,110.35,15.075
68,1747654839410,-0.56,0.02,0.59,-2.38,101.32,15.87
69,1747654839420,-0.56,0.02,0.59,-2.38,101.32,15.87
70,1747654839430,-0.56,0.02,0.59,-2.38,101.32,15.87
71,1747654839440,-0.61,0.05,0.57,32.53,76.29,15.2
72,1747654839450,-0.61,0.05,0.57,32.53,76.29,15.2
73,1747654839460,-0.61,0.05,0.57,32.53,76.29,15.2
74,1747654839470,-0.61,0.0849999999999999,0.5549999999999999,22.34,83.065,17.275
75,1747654839480,-0.61,0.12,0.54,12.15,89.84,19.35
76,1747654839490,-0.61,0.12,0.54,12.15,89.84,19.35
77,1747654839500,-0.61,0.12,0.54,12.15,89.84,19.35
78,1747654839510,-0.61,0.12,0.54,12.15,89.84,19.35
79,1747654839520,-0.69,0.12,0.48,-8.0,89.78,14.1
80,1747654839530,-0.69,0.12,0.48,-8.0,89.78,14.1
