id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747656028360,0.24,0.05,-0.98,-24.78,2.01,-6.96
1,1747656028370,0.28,0.05,-0.96,4.39,-11.29,-3.05
2,1747656028380,0.28,0.05,-0.96,4.39,-11.29,-3.05
3,1747656028390,0.28,0.05,-0.96,4.39,-11.29,-3.05
4,1747656028400,0.28,0.05,-0.96,4.39,-11.29,-3.05
5,1747656028410,0.48,0.04,-1.03,22.34,-21.24,-13.67
6,1747656028420,0.48,0.04,-1.03,22.34,-21.24,-13.67
7,1747656028430,0.48,0.04,-1.03,22.34,-21.24,-13.67
8,1747656028440,0.48,0.04,-1.03,22.34,-21.24,-13.67
9,1747656028450,0.41,0.04,-1.06,-6.23,1.28,-14.04
10,1747656028460,,,,,,
11,1747656028470,0.41,0.04,-1.06,-6.23,1.28,-14.04
12,1747656028480,0.41,0.04,-1.06,-6.23,1.28,-14.04
13,1747656028490,0.57,-0.03,-1.03,-14.04,18.01,-1.71
14,1747656028500,0.57,-0.03,-1.03,-14.04,18.01,-1.71
15,1747656028510,0.57,-0.03,-1.03,-14.04,18.01,-1.71
16,1747656028520,0.57,-0.03,-1.03,-14.04,18.01,-1.71
17,1747656028530,0.67,0.01,-1.07,-0.24,16.6,-10.86
18,1747656028540,0.67,0.01,-1.07,-0.24,16.6,-10.86
19,1747656028550,0.67,0.01,-1.07,-0.24,16.6,-10.86
20,1747656028560,0.66,0.015,-1.015,-2.53,9.735,-19.285
21,1747656028570,0.65,0.02,-0.96,-4.82,2.87,-27.71
22,1747656028580,0.65,0.02,-0.96,-4.82,2.87,-27.71
23,1747656028590,0.65,0.02,-0.96,-4.82,2.87,-27.71
24,1747656028600,0.61,-0.02,-0.97,-4.82,2.87,-27.71
25,1747656028610,0.61,-0.02,-0.97,-3.78,-8.42,-24.9
26,1747656028620,0.61,-0.02,-0.97,-3.78,-8.42,-24.9
27,1747656028630,0.61,-0.02,-0.97,-3.78,-8.42,-24.9
28,1747656028640,0.61,0.06,-0.82,-16.415,0.2750000000000003,-26.67
29,1747656028650,0.61,0.06,-0.82,-29.05,8.97,-28.44
30,1747656028660,0.61,0.06,-0.82,-29.05,8.97,-28.44
31,1747656028670,0.61,0.06,-0.82,-29.05,8.97,-28.44
32,1747656028680,0.51,-0.02,-0.91,-11.75,9.52,-23.465
33,1747656028690,0.51,-0.02,-0.91,5.55,10.07,-18.49
34,1747656028700,0.51,-0.02,-0.91,5.55,10.07,-18.49
35,1747656028710,0.51,-0.02,-0.91,5.55,10.07,-18.49
36,1747656028720,0.56,0.12,-0.93,-21.85,10.74,-20.2
37,1747656028730,0.56,0.12,-0.93,-21.85,10.74,-20.2
38,1747656028740,0.56,0.12,-0.93,-21.85,10.74,-20.2
39,1747656028750,0.56,0.12,-0.93,-21.85,10.74,-20.2
40,1747656028760,0.5,0.0849999999999999,-0.915,-16.05,14.555,-20.965
41,1747656028770,0.44,0.05,-0.9,-10.25,18.37,-21.73
42,1747656028780,0.44,0.05,-0.9,-10.25,18.37,-21.73
43,1747656028790,0.395,0.1,-0.885,-10.25,18.37,-21.73
44,1747656028800,0.35,0.15,-0.87,-31.43,24.29,-1.04
45,1747656028810,0.35,0.15,-0.87,-31.43,24.29,-1.04
46,1747656028820,0.35,0.15,-0.87,-31.43,24.29,-1.04
47,1747656028830,0.35,0.15,-0.87,-31.43,24.29,-1.04
48,1747656028840,0.34,0.13,-0.91,31.31,-5.13,-17.27
49,1747656028850,0.34,0.13,-0.91,31.31,-5.13,-17.27
50,1747656028860,0.34,0.13,-0.91,31.31,-5.13,-17.27
51,1747656028870,0.34,0.13,-0.91,31.31,-5.13,-17.27
52,1747656028880,0.22,0.08,-0.99,0.24,-6.65,8.48
53,1747656028890,0.22,0.08,-0.99,0.24,-6.65,8.48
54,1747656028900,0.22,0.08,-0.99,0.24,-6.65,8.48
55,1747656028910,0.22,0.08,-0.99,0.24,-6.65,8.48
56,1747656028920,0.33,0.19,-0.85,7.87,10.07,17.15
57,1747656028930,0.33,0.19,-0.85,7.87,10.07,17.15
58,1747656028940,0.33,0.19,-0.85,7.87,10.07,17.15
59,1747656028950,0.2,0.06,-1.03,8.605,-8.18,3.265
60,1747656028960,0.2,0.06,-1.03,9.34,-26.43,-10.62
61,1747656028970,0.2,0.06,-1.03,9.34,-26.43,-10.62
62,1747656028980,0.2,0.06,-1.03,9.34,-26.43,-10.62
