id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747400801400,1.88,-0.53,1.69,-139.77,-100.52,87.52
1,1747400801410,,,,,,
2,1747400801420,1.95,-0.21,1.46,-164.49,-69.95,111.21
3,1747400801430,1.95,-0.21,1.46,-164.49,-69.95,111.21
4,1747400801440,,,,,,
5,1747400801450,1.95,-0.21,1.46,-164.49,-69.95,111.21
6,1747400801460,,,,,,
7,1747400801470,1.65,0.01,1.01,-130.31,-46.63,122.86
8,1747400801480,1.65,0.01,1.01,-130.31,-46.63,122.86
9,1747400801490,,,,,,
10,1747400801500,0.92,0.56,0.67,-105.65,19.96,110.41
11,1747400801510,0.92,0.56,0.67,-105.65,19.96,110.41
12,1747400801520,,,,,,
13,1747400801530,0.92,0.56,0.67,-105.65,19.96,110.41
14,1747400801540,0.47,0.5,0.37,-121.64,-29.48,86.12
15,1747400801550,,,,,,
16,1747400801560,0.47,0.5,0.37,-121.64,-29.48,86.12
17,1747400801570,0.18,0.77,-0.14,-19.71,-8.67,102.72
18,1747400801580,0.18,0.77,-0.14,-19.71,-8.67,102.72
19,1747400801590,0.18,0.77,-0.14,-19.71,-8.67,102.72
20,1747400801600,-0.06,0.71,-0.15,-76.66,37.41,55.42
21,1747400801610,-0.06,0.71,-0.15,-76.66,37.41,55.42
22,1747400801620,-0.06,0.71,-0.15,-76.66,37.41,55.42
23,1747400801630,-0.06,0.71,-0.15,-76.66,37.41,55.42
24,1747400801640,0.21,0.76,-0.09,-82.09,-18.25,28.5
25,1747400801650,0.21,0.76,-0.09,-82.09,-18.25,28.5
26,1747400801660,0.21,0.76,-0.09,-82.09,-18.25,28.5
27,1747400801670,0.21,0.76,-0.09,-82.09,-18.25,28.5
28,1747400801680,0.76,0.72,0.29,-119.38,16.36,30.82
29,1747400801690,0.76,0.72,0.29,-119.38,16.36,30.82
30,1747400801700,0.76,0.72,0.29,-119.38,16.36,30.82
31,1747400801710,0.76,0.72,0.29,-119.38,16.36,30.82
32,1747400801720,0.76,0.39,0.31,-53.28,11.66,-44.25
33,1747400801730,0.76,0.39,0.31,-53.28,11.66,-44.25
34,1747400801740,0.76,0.39,0.31,-53.28,11.66,-44.25
35,1747400801750,0.76,0.39,0.31,-53.28,11.66,-44.25
36,1747400801760,1.05,0.08,0.18,47.61,84.29,-89.84
37,1747400801770,1.05,0.08,0.18,47.61,84.29,-89.84
38,1747400801780,1.05,0.08,0.18,47.61,84.29,-89.84
39,1747400801790,1.05,0.08,0.18,47.61,84.29,-89.84
40,1747400801800,1.47,0.24,0.69,200.38,75.74,-145.87
41,1747400801810,1.47,0.24,0.69,200.38,75.74,-145.87
42,1747400801820,1.47,0.24,0.69,200.38,75.74,-145.87
43,1747400801830,1.47,0.24,0.69,200.38,75.74,-145.87
44,1747400801840,1.47,0.24,0.69,200.38,75.74,-145.87
45,1747400801850,1.28,0.48,1.05,376.46,64.45,-193.6
46,1747400801860,1.28,0.48,1.05,376.46,64.45,-193.6
47,1747400801870,1.28,0.48,1.05,376.46,64.45,-193.6
48,1747400801880,1.47,0.63,0.9,264.89,-9.64,-166.02
49,1747400801890,1.47,0.63,0.9,264.89,-9.64,-166.02
50,1747400801900,1.47,0.63,0.9,264.89,-9.64,-166.02
51,1747400801910,1.205,0.26,0.78,264.89,-9.64,-166.02
52,1747400801920,0.94,-0.11,0.66,213.2,93.32,-101.62
53,1747400801930,0.94,-0.11,0.66,213.2,93.32,-101.62
54,1747400801940,0.94,-0.11,0.66,213.2,93.32,-101.62
55,1747400801950,0.55,-0.35,0.62,213.2,93.32,-101.62
56,1747400801960,0.55,-0.35,0.62,156.01,15.08,-71.59
57,1747400801970,0.55,-0.35,0.62,156.01,15.08,-71.59
58,1747400801980,0.55,-0.35,0.62,156.01,15.08,-71.59
59,1747400801990,0.85,-0.71,0.65,97.26,-24.96,-76.05000000000001
60,1747400802000,0.85,-0.71,0.65,38.51,-65.0,-80.51
61,1747400802010,0.85,-0.71,0.65,38.51,-65.0,-80.51
62,1747400802020,0.85,-0.71,0.65,38.51,-65.0,-80.51
63,1747400802030,1.17,-0.86,0.95,8.0,22.4,-12.88
64,1747400802040,1.17,-0.86,0.95,8.0,22.4,-12.88
65,1747400802050,1.17,-0.86,0.95,8.0,22.4,-12.88
66,1747400802060,1.17,-0.86,0.95,8.0,22.4,-12.88
67,1747400802070,1.42,-0.675,1.385,-17.635,-28.685,10.529999999999998
68,1747400802080,1.67,-0.49,1.82,-43.27,-79.77,33.94
69,1747400802090,1.67,-0.49,1.82,-43.27,-79.77,33.94
70,1747400802100,1.67,-0.49,1.82,-43.27,-79.77,33.94
71,1747400802110,2.39,-0.11,1.64,-225.65,-142.7,97.9
72,1747400802120,2.39,-0.11,1.64,-225.65,-142.7,97.9
73,1747400802130,2.39,-0.11,1.64,-225.65,-142.7,97.9
74,1747400802140,2.39,-0.11,1.64,-225.65,-142.7,97.9
75,1747400802150,2.17,0.46,1.42,-231.87,-130.74,181.03
76,1747400802160,2.17,0.46,1.42,-231.87,-130.74,181.03
77,1747400802170,2.17,0.46,1.42,-231.87,-130.74,181.03
78,1747400802180,2.17,0.46,1.42,-231.87,-130.74,181.03
79,1747400802190,2.02,0.59,1.03,-189.51,-199.46,178.65
80,1747400802200,2.02,0.59,1.03,-189.51,-199.46,178.65
81,1747400802210,2.02,0.59,1.03,-189.51,-199.46,178.65
82,1747400802220,1.54,0.88,0.63,-112.3,-143.74,183.65
83,1747400802230,1.54,0.88,0.63,-112.3,-143.74,183.65
84,1747400802240,1.54,0.88,0.63,-112.3,-143.74,183.65
85,1747400802250,1.54,0.88,0.63,-112.3,-143.74,183.65
86,1747400802260,0.53,0.78,0.41,-112.3,-143.74,183.65
87,1747400802270,0.53,0.78,0.41,-81.36,0.49,201.6
88,1747400802280,0.53,0.78,0.41,-81.36,0.49,201.6
89,1747400802290,0.53,0.78,0.41,-81.36,0.49,201.6
90,1747400802300,-0.08,0.71,0.09,-81.755,-12.785,187.285
91,1747400802310,-0.08,0.71,0.09,-82.15,-26.06,172.97
92,1747400802320,-0.08,0.71,0.09,-82.15,-26.06,172.97
93,1747400802330,-0.32,0.75,-0.07,-82.15,-26.06,172.97
94,1747400802340,-0.32,0.75,-0.07,-59.57,-62.74,112.43
95,1747400802350,-0.32,0.75,-0.07,-59.57,-62.74,112.43
96,1747400802360,-0.32,0.75,-0.07,-59.57,-62.74,112.43
97,1747400802370,-0.215,0.7949999999999999,-0.075,-59.57,-62.74,112.43
98,1747400802380,-0.11,0.84,-0.08,-46.33,-61.16,55.05
99,1747400802390,-0.11,0.84,-0.08,-46.33,-61.16,55.05
100,1747400802400,-0.11,0.84,-0.08,-46.33,-61.16,55.05
101,1747400802410,-0.11,0.84,-0.08,-46.33,-61.16,55.05
102,1747400802420,0.18,0.83,-0.17,-36.93,10.93,7.14
103,1747400802430,0.18,0.83,-0.17,-36.93,10.93,7.14
104,1747400802440,0.18,0.83,-0.17,-36.93,10.93,7.14
105,1747400802450,0.395,0.735,-0.06,2.805,22.585,-22.705
106,1747400802460,0.61,0.64,0.05,42.54,34.24,-52.55
107,1747400802470,0.61,0.64,0.05,42.54,34.24,-52.55
108,1747400802480,0.61,0.64,0.05,42.54,34.24,-52.55
109,1747400802490,1.08,0.48,-0.03,42.54,34.24,-52.55
110,1747400802500,1.08,0.48,-0.03,-9.7,15.26,-135.01
111,1747400802510,1.08,0.48,-0.03,-9.7,15.26,-135.01
